predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meandonorhb,APTT,predspline,2,21940,6.00,3.00,0.0497553332,4.9775752E-02,0,0.2826771126
numdoncat,LPK,predictorvalue,4,56356,9.44,2.36,0.0510953375,5.1108458E-02,0,0.2867059823
meandonorsex,PCO2,predictorvalue,1,16457,3.75,3.75,0.0529565673,5.2973678E-02,0,0.2935890578
meandonorage,GLUKOS,predspline,2,44582,5.69,2.84,0.058178158,5.8188715E-02,0,0.3186524866
meandonorhb,COHB,predspline,2,14021,5.64,2.82,0.0596074535,5.9641261E-02,0,0.3227644736
timesincecat,METHB,predictorvalue,3,15595,7.37,2.46,0.0608844962,6.0925386E-02,0,0.3258799731
idbloodgroupcat,META,predictorvalue,1,377,3.50,3.50,0.0614253554,6.2199984E-02,0,0.3288734797
foreigndonor,LPK,predictorvalue,1,56359,3.42,3.42,0.0642326266,6.4237856E-02,0,0.335788793
meandonationtime,NA,predspline,2,46203,5.46,2.73,0.0651753072,6.5185826E-02,0,0.3369155038
meanweekday,EGFR,predictorvalue,5,7811,10.20,2.04,0.069851897,6.9976099E-02,0,0.3576556175
meandonationtime,K,predspline,2,46681,5.15,2.58,0.0760707253,7.6081540E-02,0,0.3845880026
meandonationtime,BE,predspline,2,20130,5.05,2.53,0.0800274627,8.0052817E-02,0,0.3954716788
meanstoragetime,MCHC,predspline,2,23892,5.04,2.52,0.0802737731,8.0295149E-02,0,0.3954716788
meandonorsex,TRI,predictorvalue,1,2551,3.05,3.05,0.0806934283,8.0813778E-02,0,0.3954716788
meandonorhb,CO2,predspline,2,1066,5.01,2.51,0.0815422839,8.2022819E-02,0,0.3971631228
meandonorhb,ALAT,predspline,2,16747,4.84,2.42,0.0887526765,8.8783761E-02,0,0.42542219
meandonorhb,CA,predspline,2,12614,4.79,2.40,0.0911025311,9.1143984E-02,0,0.4322292031
meanstoragetime,EGFR,predspline,2,7799,4.74,2.37,0.0936837962,9.3751141E-02,0,0.4400563782
donorparity,STDBIK,predictorvalue,2,20291,4.64,2.32,0.0984611527,9.8487227E-02,0,0.4539360437
meanstoragetime,OSMO,predspline,2,6493,4.63,2.32,0.0986002523,9.8681749E-02,0,0.4539360437
meandonorhb,EGFR,predspline,2,7553,4.59,2.29,0.100771386,1.0084165E-01,0,0.4592787931
meanstoragetime,GT,predspline,2,7720,4.49,2.24,0.1060674162,1.0613658E-01,0,0.4736457375
meandonorhb,PCO2,predspline,2,16291,4.49,2.24,0.1061525647,1.0618534E-01,0,0.4736457375
