Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
PH,numdoncat,20421,3.1877153E-01,6.9051328E-01
PO2,meandonorhb,16391,3.1048749E-01,6.9051328E-01
LYMF,meandonorhb,1906,3.1796739E-01,6.9051328E-01
BASOF,numdoncat,1940,3.1613036E-01,6.9051328E-01
PH,meandonorsex,20411,3.1646375E-01,6.9051328E-01
STDBIK,meandonorage,20297,3.1947449E-01,6.9051328E-01
MCH,idbloodgroupcat,36882,3.2425883E-01,6.9153581E-01
OSMO,meandonorsex,6503,3.2441002E-01,6.9153581E-01
GT,foreigndonor,7743,3.2247969E-01,6.9153581E-01
CO2,numdoncat,1079,3.2443807E-01,6.9153581E-01
RET,foreigndonor,504,3.2860121E-01,6.9321351E-01
METHB,meandonationtime,15561,3.2850719E-01,6.9321351E-01
APTT,donorparity,22109,3.2709978E-01,6.9321351E-01
PH,meanweekday,20416,3.3437188E-01,6.9767680E-01
META,meanstoragetime,382,3.3302087E-01,6.9767680E-01
TPK,meandonorsex,54113,3.3626954E-01,6.9767680E-01
CRP,meandonorage,47663,3.3432872E-01,6.9767680E-01
EGFR,numdoncat,7823,3.3637989E-01,6.9767680E-01
LPK,meandonorsex,56333,3.3792015E-01,6.9851951E-01
MYELO,numdoncat,362,3.4298954E-01,7.0662728E-01
BE,idbloodgroupcat,20160,3.4882861E-01,7.1388181E-01
STDBIK,meandonorhb,20091,3.4817477E-01,7.1388181E-01
HAPTO,donorparity,377,3.5105423E-01,7.1605763E-01
CA,meandonorage,12740,3.5831383E-01,7.2546867E-01
PO2,meandonorsex,16557,3.5920121E-01,7.2546867E-01
ALB,meandonationtime,22994,3.5792013E-01,7.2546867E-01
ALB,numdoncat,23099,3.6697593E-01,7.2804835E-01
TRANSF,meandonationtime,58,3.6333881E-01,7.2804835E-01
NTPROBNP,meanstoragetime,824,3.6756987E-01,7.2804835E-01
HB,meandonationtime,91145,3.6720666E-01,7.2804835E-01
CRP,timesincecat,47689,3.6420290E-01,7.2804835E-01
LYMF,numdoncat,1927,3.6252779E-01,7.2804835E-01
HAPTO,meandonorage,377,3.7472752E-01,7.3984665E-01
PO2,meanweekday,16560,3.7768235E-01,7.4093098E-01
NTPROBNP,meandonationtime,821,3.7685858E-01,7.4093098E-01
CO2,meanweekday,1079,3.8462307E-01,7.4515609E-01
NEUTRO,meandonorage,10910,3.8555533E-01,7.4515609E-01
PO2,donorparity,16557,3.8588440E-01,7.4515609E-01
CA_F,meandonationtime,20325,3.8271417E-01,7.4515609E-01
COHB,foreigndonor,14202,3.8230998E-01,7.4515609E-01
INR,meandonorage,27916,3.9395868E-01,7.4540558E-01
TRI,meandonationtime,2549,3.9044187E-01,7.4540558E-01
HAPTO,meanstoragetime,375,3.9196229E-01,7.4540558E-01
MYELO,foreigndonor,362,3.9221035E-01,7.4540558E-01
HAPTO,meandonorsex,377,3.9333310E-01,7.4540558E-01
ASAT,meandonationtime,15222,3.9448412E-01,7.4540558E-01
BASOF,timesincecat,1940,3.9163950E-01,7.4540558E-01
CRP,idbloodgroupcat,47627,3.9902244E-01,7.5167531E-01
TRANSF,meandonorage,58,4.0078276E-01,7.5268957E-01
LYMF,meandonorsex,1927,4.0801918E-01,7.6395080E-01
LD,meandonationtime,6673,4.1334800E-01,7.6693484E-01
PO2,numdoncat,16565,4.1127733E-01,7.6693484E-01
TPK,meandonorage,54113,4.1261793E-01,7.6693484E-01
COHB,timesincecat,14202,4.1639287E-01,7.7026429E-01
KREA,donorparity,50338,4.1888012E-01,7.7120860E-01
LAKTAT,meanstoragetime,18862,4.1940728E-01,7.7120860E-01
FERRITIN,meandonorhb,2560,4.2266324E-01,7.7488261E-01
SR,meanweekday,91,4.2449232E-01,7.7592661E-01
CRP,meanweekday,47676,4.2757085E-01,7.7694290E-01
LYMF,foreigndonor,1927,4.2743079E-01,7.7694290E-01
MCH,meandonorsex,36913,4.3250047E-01,7.8212100E-01
EVF,foreigndonor,52852,4.3295984E-01,7.8212100E-01
BASOF,donorparity,1940,4.3853487E-01,7.8987568E-01
STDBIK,timesincecat,20307,4.4005936E-01,7.9031068E-01
BE,timesincecat,20184,4.4548986E-01,7.9103608E-01
MCH,meandonationtime,36795,4.4642131E-01,7.9103608E-01
GLUKOS,donorparity,44590,4.4816817E-01,7.9103608E-01
CA,meandonationtime,12695,4.4707427E-01,7.9103608E-01
RET,numdoncat,504,4.4815600E-01,7.9103608E-01
MONO,numdoncat,1934,4.4236860E-01,7.9103608E-01
BE,numdoncat,20184,4.5915734E-01,8.0051223E-01
METHB,meandonorsex,15596,4.5984010E-01,8.0051223E-01
CO2,meandonationtime,1077,4.6133416E-01,8.0051223E-01
META,donorparity,383,4.5878502E-01,8.0051223E-01
COHB,meandonorsex,14196,4.6118732E-01,8.0051223E-01
FERRITIN,timesincecat,2571,4.5930754E-01,8.0051223E-01
FE,meandonorage,1411,4.7240699E-01,8.0610168E-01
EVF,meanweekday,52841,4.6750307E-01,8.0610168E-01
TPK,timesincecat,54143,4.7165258E-01,8.0610168E-01
PH,meandonorhb,20198,4.7153432E-01,8.0610168E-01
GT,meandonorhb,7680,4.7156300E-01,8.0610168E-01
CO2,foreigndonor,1079,4.6709725E-01,8.0610168E-01
CA_F,meanweekday,20367,4.7892552E-01,8.1496718E-01
PCO2,timesincecat,16469,4.8027978E-01,8.1502023E-01
HBA1C,meanweekday,187,4.8236907E-01,8.1631690E-01
ASAT,numdoncat,15290,5.0457415E-01,8.1789958E-01
LYMF,meanweekday,1927,5.0585688E-01,8.1789958E-01
EGFR,meandonorage,7819,4.8824629E-01,8.1789958E-01
ASAT,idbloodgroupcat,15264,5.0183020E-01,8.1789958E-01
TROP_T,meandonationtime,4345,5.0509786E-01,8.1789958E-01
MYELO,meanstoragetime,361,4.8612258E-01,8.1789958E-01
LD,meanstoragetime,6683,4.9230387E-01,8.1789958E-01
META,meandonorage,383,5.0009673E-01,8.1789958E-01
TRANSF,meandonorsex,58,4.8493322E-01,8.1789958E-01
