predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
meandonationtime,INR,predspline,2,27809,6.24,3.12,0.0441708101,4.4186269E-02,0,0.2567805831
meanstoragetime,TROP_I,predspline,2,577,6.22,3.11,0.0445399079,4.5288061E-02,0,0.2607237897
numdoncat,K,predictorv,4,46822,9.70,2.43,0.0457623161,4.5777453E-02,0,0.2611010305
meanweekday,NEUTRO,predictorvalue,5,10900,11.26,2.25,0.0464724525,4.6549393E-02,0,0.2630681303
donorparity,MCH,predictorvalue,2,36906,6.04,3.02,0.0486974017,4.8709453E-02,0,0.2722996375
foreigndonor,LAKTAT,predictorv,1,18881,3.87,3.87,0.0490523707,4.9066980E-02,0,0.2722996375
meandonorhb,APTT,predspline,2,21940,6.00,3.00,0.0497553332,4.9775752E-02,0,0.2737666384
numdoncat,LPK,predictorvalue,4,56356,9.44,2.36,0.0510953375,5.1108458E-02,0,0.2773335644
meandonorsex,STDBIK,predictorvalue,1,20292,3.80,3.80,0.0513109565,5.1324718E-02,0,0.2773335644
meandonorsex,PCO2,predictorvalue,1,16457,3.75,3.75,0.0529565673,5.2973678E-02,0,0.2819097864
meanweekday,BILI_K,predictorvalue,5,4817,10.92,2.18,0.0529037644,5.3086908E-02,0,0.2819097864
numdoncat,MCH,predictorvalue,4,36924,9.25,2.31,0.0551759055,5.5196498E-02,0,0.2906072006
meandonorage,GLUKOS,predspline,2,44582,5.69,2.84,0.058178158,5.8188715E-02,0,0.303764817
meandonorhb,COHB,predspline,2,14021,5.64,2.82,0.0596074535,5.9641261E-02,0,0.3087312356
timesincecat,METHB,predictorvalue,3,15595,7.37,2.46,0.0608844962,6.0925386E-02,0,0.3127503162
idbloodgroupcat,META,predictorvalue,1,377,3.50,3.50,0.0614253554,6.2199984E-02,0,0.316654465
timesincecat,MCH,predictorvalue,3,36925,7.28,2.43,0.0636112381,6.3628742E-02,0,0.3196457368
foreigndonor,LPK,predictorv,1,56359,3.42,3.42,0.0642326266,6.4237856E-02,0,0.3196457368
idbloodgroupcat,CO2,predictorvalue,1,1069,3.42,3.42,0.0643846411,6.4660524E-02,0,0.3196457368
meandonationtime,NA,predspline,2,46203,5.46,2.73,0.0651753072,6.5185826E-02,0,0.3196457368
meanweekday,HB,predictorvalue,5,91429,10.37,2.07,0.0653716905,6.5382083E-02,0,0.3196457368
meandonorsex,INR,predictorv,1,27910,3.36,3.36,0.0668833091,6.6893957E-02,0,0.3244620289
meanweekday,EGFR,predictorv,5,7811,10.20,2.04,0.069851897,6.9976099E-02,0,0.3367599768
donorparity,OSMO,predictorv,2,6496,5.30,2.65,0.0707378889,7.0814289E-02,0,0.3381519539
meandonationtime,K,predspline,2,46681,5.15,2.58,0.0760707253,7.6081540E-02,0,0.3605094494
meandonationtime,BE,predspline,2,20130,5.05,2.53,0.0800274627,8.0052817E-02,0,0.3742953922
meanstoragetime,MCHC,predspline,2,23892,5.04,2.52,0.0802737731,8.0295149E-02,0,0.3742953922
meandonorsex,TRI,predictorv,1,2551,3.05,3.05,0.0806934283,8.0813778E-02,0,0.3742953922
meandonorhb,CO2,predspline,2,1066,5.01,2.51,0.0815422839,8.2022819E-02,0,0.3770601224
meandonorhb,ALAT,predspline,2,16747,4.84,2.42,0.0887526765,8.8783761E-02,0,0.405117015
meandonorhb,CA,predspline,2,12614,4.79,2.40,0.0911025311,9.1143984E-02,0,0.412828634
meanstoragetime,EGFR,predspline,2,7799,4.74,2.37,0.0936837962,9.3751141E-02,0,0.421537979
donorparity,STDBIK,predictorvalue,2,20291,4.64,2.32,0.0984611527,9.8487227E-02,0,0.4373234328
meanstoragetime,OSMO,predspline,2,6493,4.63,2.32,0.0986002523,9.8681749E-02,0,0.4373234328
donorparity,TRI,predictorv,2,2550,4.62,2.31,0.0993721981,9.9579908E-02,0,0.438151597
meandonorhb,EGFR,predspline,2,7553,4.59,2.29,0.100771386,1.0084165E-01,0,0.4405564199
meanstoragetime,GT,predspline,2,7720,4.49,2.24,0.1060674162,1.0613658E-01,0,0.4574137836
meandonorhb,PCO2,predspline,2,16291,4.49,2.24,0.1061525647,1.0618534E-01,0,0.4574137836
numdoncat,TRI,predictorv,4,2549,7.62,1.90,0.106730764,1.0708512E-01,0,0.4580863606
meandonorsex,MONO,predictorv,1,1928,2.51,2.51,0.1133568971,1.1352091E-01,0,0.4822681231
meandonorsex,SR,predictorvalue,1,85,2.51,2.51,0.1131791805,1.1689292E-01,0,0.4931920274
meanstoragetime,CO2,predspline,2,1070,4.26,2.13,0.1186581463,1.1916171E-01,0,0.4945726923
donorparity,SR,predictorvalue,2,84,4.36,2.18,0.1128302712,1.1918402E-01,0,0.4945726923
donorparity,ALAT,predictorvalue,2,16877,4.23,2.12,0.1205585248,1.2059050E-01,0,0.4945726923
meandonationtime,BILI,predspline,2,22279,4.23,2.11,0.1209215667,1.2094579E-01,0,0.4945726923
idbloodgroupcat,BASOF,predictorv,1,1932,2.40,2.40,0.1210707567,1.2123454E-01,0,0.4945726923
meandonorhb,LPK,predspline,2,55772,4.20,2.10,0.1226956049,1.2270529E-01,0,0.4948366954
timesincecat,CA_F,predictorvalue,3,20364,5.78,1.93,0.1228697085,1.2290587E-01,0,0.4948366954
meandonorhb,BILI_K,predspline,2,4786,4.17,2.09,0.1242382026,1.2435110E-01,0,0.4974043863
meandonationtime,HBA1C,predspline,2,180,4.08,2.04,0.1299250749,1.3292062E-01,0,0.5138434317
meandonorsex,ALAT,predictorvalue,1,16878,2.25,2.25,0.133220973,1.3323968E-01,0,0.5138434317
meandonorage,OSMO,predspline,2,6496,4.03,2.01,0.1335719397,1.3365526E-01,0,0.5138434317
