predictor,label,Effect,NumDF,DenDF,ChiSq,FValue,ProbChiSq,ProbF,adjusted,fdr_p
idbloodgroupcat,APTT,predictorvalue,1,22085,6.15,6.15,0.0131314662,1.3138862E-02,0,0.1006871137
timesincecat,MCHC,predictorvalue,3,23937,10.73,3.58,0.0132917432,1.3305083E-02,0,0.1006871137
meandonorhb,RET,predspline,2,487,8.68,4.34,0.0130654453,1.3573990E-02,0,0.1013524604
donorparity,MYELO,predictorvalue,2,355,8.21,4.11,0.0164747673,1.7263582E-02,0,0.1272053374
meandonorhb,HBA1C,predspline,2,179,8.26,4.13,0.0160649028,1.7621903E-02,0,0.1281592943
meandonorsex,CL,predictorvalue,1,21061,5.40,5.40,0.0201233205,2.0132785E-02,0,0.1427594439
meanstoragetime,K,predspline,2,46740,7.81,3.91,0.0201327086,2.0139279E-02,0,0.1427594439
donorparity,BILI,predictorvalue,2,22353,7.71,3.86,0.0211399103,2.1153978E-02,0,0.1480778449
idbloodgroupcat,STDBIK,predictorvalue,1,20278,5.27,5.27,0.0216792962,2.1689448E-02,0,0.14995174
idbloodgroupcat,LPK,predictorvalue,1,56284,5.14,5.14,0.0234424646,2.3446245E-02,0,0.1589865436
meandonorhb,FE,predspline,2,1398,7.52,3.76,0.0233280605,2.3564077E-02,0,0.1589865436
numdoncat,TPK,predictorvalue,4,54134,11.20,2.80,0.0243624282,2.4372274E-02,0,0.1624818268
meandonorage,BILI_K,predspline,2,4822,7.40,3.70,0.0247513592,2.4821615E-02,0,0.163530641
numdoncat,MCV,predictorvalue,4,36833,11.00,2.75,0.0265509959,2.6566097E-02,0,0.172988539
numdoncat,CA,predictorvalue,4,12736,10.95,2.74,0.0271150312,2.7159160E-02,0,0.1743774719
meandonationtime,LPK,predspline,2,56146,7.19,3.60,0.0273958595,2.7402174E-02,0,0.1743774719
meandonationtime,BILI_K,predspline,2,4804,7.17,3.59,0.0277310453,2.7805268E-02,0,0.1749544981
meanstoragetime,TROP_T,predspline,2,4348,7.05,3.53,0.0294024604,2.9486595E-02,0,0.1834721493
meandonorage,K,predspline,2,46800,6.86,3.43,0.03233335,3.2341486E-02,0,0.1979831254
meandonorhb,SR,predspline,2,82,7.15,3.57,0.0280740659,3.2525799E-02,0,0.1979831254
donorparity,CA,predictorvalue,2,12733,6.68,3.34,0.0354909042,3.5521973E-02,0,0.2138957501
idbloodgroupcat,PH,predictorvalue,1,20391,4.28,4.28,0.0384933382,3.8505903E-02,0,0.2293968701
meanstoragetime,PCO2,predspline,2,16439,6.32,3.16,0.0424580174,4.2483797E-02,0,0.2481623311
idbloodgroupcat,K,predictorvalue,1,46765,4.11,4.11,0.0425364576,4.2542114E-02,0,0.2481623311
meanweekday,INR,predictorvalue,5,27918,11.45,2.29,0.0430892161,4.3118334E-02,0,0.2482722518
meandonorage,PCO2,predspline,2,16456,6.27,3.14,0.0434216799,4.3447644E-02,0,0.2482722518
meandonationtime,INR,predspline,2,27809,6.24,3.12,0.0441708101,4.4186269E-02,0,0.2499425326
meanstoragetime,TROP_I,predspline,2,577,6.22,3.11,0.0445399079,4.5288061E-02,0,0.2536131409
numdoncat,K,predictorvalue,4,46822,9.70,2.43,0.0457623161,4.5777453E-02,0,0.2538155832
meanweekday,NEUTRO,predictorvalue,5,10900,11.26,2.25,0.0464724525,4.6549393E-02,0,0.2555652959
donorparity,MCH,predictorvalue,2,36906,6.04,3.02,0.0486974017,4.8709453E-02,0,0.2648280952
meandonorhb,APTT,predspline,2,21940,6.00,3.00,0.0497553332,4.9775752E-02,0,0.2680232823
numdoncat,LPK,predictorvalue,4,56356,9.44,2.36,0.0510953375,5.1108458E-02,0,0.2711494541
meandonorsex,STDBIK,predictorvalue,1,20292,3.80,3.80,0.0513109565,5.1324718E-02,0,0.2711494541
meandonorsex,PCO2,predictorvalue,1,16457,3.75,3.75,0.0529565673,5.2973678E-02,0,0.275265448
meanweekday,BILI_K,predictorvalue,5,4817,10.92,2.18,0.0529037644,5.3086908E-02,0,0.275265448
numdoncat,MCH,predictorvalue,4,36924,9.25,2.31,0.0551759055,5.5196498E-02,0,0.2835783359
meandonorage,GLUKOS,predspline,2,44582,5.69,2.84,0.058178158,5.8188715E-02,0,0.2962334579
meandonorhb,COHB,predspline,2,14021,5.64,2.82,0.0596074535,5.9641261E-02,0,0.3008928505
timesincecat,METHB,predictorvalue,3,15595,7.37,2.46,0.0608844962,6.0925386E-02,0,0.3046269314
idbloodgroupcat,META,predictorvalue,1,377,3.50,3.50,0.0614253554,6.2199984E-02,0,0.3082477093
timesincecat,MCH,predictorvalue,3,36925,7.28,2.43,0.0636112381,6.3628742E-02,0,0.3125622421
idbloodgroupcat,CO2,predictorvalue,1,1069,3.42,3.42,0.0643846411,6.4660524E-02,0,0.3129398822
meandonationtime,NA,predspline,2,46203,5.46,2.73,0.0651753072,6.5185826E-02,0,0.3129398822
meanweekday,HB,predictorvalue,5,91429,10.37,2.07,0.0653716905,6.5382083E-02,0,0.3129398822
meandonorsex,INR,predictorvalue,1,27910,3.36,3.36,0.0668833091,6.6893957E-02,0,0.317462848
meanweekday,EGFR,predictorvalue,5,7811,10.20,2.04,0.069851897,6.9976099E-02,0,0.3292992898
donorparity,OSMO,predictorvalue,2,6496,5.30,2.65,0.0707378889,7.0814289E-02,0,0.3304666822
meandonationtime,K,predspline,2,46681,5.15,2.58,0.0760707253,7.6081540E-02,0,0.3521129108
meandonationtime,BE,predspline,2,20130,5.05,2.53,0.0800274627,8.0052817E-02,0,0.3649654484
meanstoragetime,MCHC,predspline,2,23892,5.04,2.52,0.0802737731,8.0295149E-02,0,0.3649654484
meandonorsex,TRI,predictorvalue,1,2551,3.05,3.05,0.0806934283,8.0813778E-02,0,0.3649654484
meandonorhb,CO2,predspline,2,1066,5.01,2.51,0.0815422839,8.2022819E-02,0,0.3674622284
meandonorhb,ALAT,predspline,2,16747,4.84,2.42,0.0887526765,8.8783761E-02,0,0.3945944951
meandonorhb,CA,predspline,2,12614,4.79,2.40,0.0911025311,9.1143984E-02,0,0.4018947332
meanstoragetime,EGFR,predspline,2,7799,4.74,2.37,0.0936837962,9.3751141E-02,0,0.4101612438
donorparity,STDBIK,predictorvalue,2,20291,4.64,2.32,0.0984611527,9.8487227E-02,0,0.4250906095
meanstoragetime,OSMO,predspline,2,6493,4.63,2.32,0.0986002523,9.8681749E-02,0,0.4250906095
donorparity,TRI,predictorvalue,2,2550,4.62,2.31,0.0993721981,9.9579908E-02,0,0.4256851047
meandonorhb,EGFR,predspline,2,7553,4.59,2.29,0.100771386,1.0084165E-01,0,0.4278130523
meanstoragetime,GT,predspline,2,7720,4.49,2.24,0.1060674162,1.0613658E-01,0,0.4437596408
meandonorhb,PCO2,predspline,2,16291,4.49,2.24,0.1061525647,1.0618534E-01,0,0.4437596408
numdoncat,TRI,predictorvalue,4,2549,7.62,1.90,0.106730764,1.0708512E-01,0,0.4442049557
meandonorsex,MONO,predictorvalue,1,1928,2.51,2.51,0.1133568971,1.1352091E-01,0,0.467439023
meandonorsex,SR,predictorvalue,1,85,2.51,2.51,0.1131791805,1.1689292E-01,0,0.4778104579
meanstoragetime,CO2,predspline,2,1070,4.26,2.13,0.1186581463,1.1916171E-01,0,0.4779672626
donorparity,SR,predictorvalue,2,84,4.36,2.18,0.1128302712,1.1918402E-01,0,0.4779672626
donorparity,ALAT,predictorvalue,2,16877,4.23,2.12,0.1205585248,1.2059050E-01,0,0.4779672626
meandonationtime,BILI,predspline,2,22279,4.23,2.11,0.1209215667,1.2094579E-01,0,0.4779672626
idbloodgroupcat,BASOF,predictorvalue,1,1932,2.40,2.40,0.1210707567,1.2123454E-01,0,0.4779672626
meandonorhb,LPK,predspline,2,55772,4.20,2.10,0.1226956049,1.2270529E-01,0,0.4779672626
timesincecat,CA_F,predictorvalue,3,20364,5.78,1.93,0.1228697085,1.2290587E-01,0,0.4779672626
meandonorhb,BILI_K,predspline,2,4786,4.17,2.09,0.1242382026,1.2435110E-01,0,0.4802525109
meandonationtime,HBA1C,predspline,2,180,4.08,2.04,0.1299250749,1.3292062E-01,0,0.4981240745
meandonorsex,ALAT,predictorvalue,1,16878,2.25,2.25,0.133220973,1.3323968E-01,0,0.4981240745
meandonorage,OSMO,predspline,2,6496,4.03,2.01,0.1335719397,1.3365526E-01,0,0.4981240745
timesincecat,APTT,predictorvalue,3,22117,5.58,1.86,0.1337375668,1.3377101E-01,0,0.4981240745
meanweekday,MCH,predictorvalue,5,36916,8.41,1.68,0.1349089076,1.3493873E-01,0,0.4981240745
meanstoragetime,GLUKOS,predspline,2,44516,4.01,2.00,0.1349738422,1.3498600E-01,0,0.4981240745
meandonorsex,APTT,predictorvalue,1,22103,2.23,2.23,0.1352339027,1.3524818E-01,0,0.4981240745
meandonorhb,METHB,predspline,2,15394,3.98,1.99,0.1366362165,1.3667138E-01,0,0.4981240745
meandonationtime,FIB,predspline,2,13612,3.97,1.98,0.1375226132,1.3756238E-01,0,0.4981240745
meandonorhb,ASAT,predspline,2,15151,3.96,1.98,0.1378379026,1.3787363E-01,0,0.4981240745
meanweekday,MYELO,predictorvalue,5,352,8.40,1.68,0.1357188817,1.3882922E-01,0,0.498361293
meandonorhb,LD,predspline,2,6637,3.92,1.96,0.1405743899,1.4065592E-01,0,0.4988136032
meandonationtime,ALAT,predspline,2,16808,3.92,1.96,0.1411468505,1.4117904E-01,0,0.4988136032
donorparity,LAKTAT,predictorvalue,2,18870,3.91,1.95,0.1415987618,1.4162743E-01,0,0.4988136032
numdoncat,FIB,predictorvalue,4,13667,6.87,1.72,0.1430299765,1.4309771E-01,0,0.5008419987
meandonorsex,K,predictorvalue,1,46802,2.11,2.11,0.1467998771,1.4680658E-01,0,0.5106315799
idbloodgroupcat,NEUTRO,predictorvalue,1,10896,2.09,2.09,0.1478811621,1.4790993E-01,0,0.5112935846
meanstoragetime,NEUTRO,predspline,2,10886,3.79,1.90,0.1502085473,1.5025813E-01,0,0.5152089455
timesincecat,TRI,predictorvalue,3,2550,5.31,1.77,0.150592762,1.5088262E-01,0,0.5152089455
meanweekday,FERRITIN,predictorvalue,5,2561,8.01,1.60,0.1555866239,1.5601670E-01,0,0.5295112271
meandonorage,CL,predspline,2,21059,3.70,1.85,0.1571322636,1.5715782E-01,0,0.530170953
donorparity,COHB,predictorvalue,2,14189,3.65,1.83,0.161055104,1.6109295E-01,0,0.5375171459
numdoncat,CL,predictorvalue,4,21069,6.56,1.64,0.1612113424,1.6125514E-01,0,0.5375171459
idbloodgroupcat,TROP_T,predictorvalue,1,4352,1.93,1.93,0.1645372521,1.6460834E-01,0,0.5454477599
meandonationtime,STDBIK,predspline,2,20254,3.59,1.79,0.166174585,1.6620101E-01,0,0.5460070223
meandonationtime,NEUTRO,predspline,2,10876,3.58,1.79,0.1666779512,1.6672714E-01,0,0.5460070223
meandonationtime,LYMF,predspline,2,1917,3.56,1.78,0.1683004199,1.6857910E-01,0,0.5488621782
numdoncat,KREA,predictorvalue,4,50352,6.33,1.58,0.1756150783,1.7563326E-01,0,0.5650298419
meandonorage,ASAT,predspline,2,15276,3.48,1.74,0.1757093312,1.7574411E-01,0,0.5650298419
meandonorage,LAKTAT,predspline,2,18869,3.47,1.73,0.1765436887,1.7657183E-01,0,0.5650298419
meandonorhb,META,predspline,2,372,3.44,1.72,0.1791629857,1.8058381E-01,0,0.5721584365
meanweekday,BASOF,predictorvalue,5,1930,7.58,1.52,0.1807480745,1.8131142E-01,0,0.5721584365
numdoncat,CA_F,predictorvalue,4,20363,6.22,1.56,0.1830968872,1.8314159E-01,0,0.5721584365
meandonorhb,MYELO,predspline,2,351,3.41,1.70,0.1821713849,1.8367276E-01,0,0.5721584365
donorparity,ALP,predictorvalue,2,6672,3.39,1.69,0.183829037,1.8390807E-01,0,0.5721584365
meandonationtime,RET,predspline,2,496,3.38,1.69,0.1848078159,1.8586826E-01,0,0.5724316641
donorparity,INR,predictorvalue,2,27909,3.36,1.68,0.1863780643,1.8639691E-01,0,0.5724316641
meandonationtime,EGFR,predspline,2,7812,3.35,1.68,0.1869952052,1.8706249E-01,0,0.5724316641
meandonorage,COHB,predspline,2,14188,3.33,1.66,0.1895127789,1.8954973E-01,0,0.5768904838
meandonationtime,OSMO,predspline,2,6481,3.31,1.66,0.1910126749,1.9109343E-01,0,0.5784449818
meandonorhb,NTPROBNP,predspline,2,814,3.24,1.62,0.1983075292,1.9894460E-01,0,0.5895742809
meanstoragetime,PH,predspline,2,20386,3.22,1.61,0.2000083162,2.0003373E-01,0,0.5895742809
idbloodgroupcat,INR,predictorvalue,1,27889,1.62,1.62,0.2026836582,2.0269427E-01,0,0.5895742809
meanweekday,RET,predictorvalue,5,494,7.27,1.45,0.2014399871,2.0358937E-01,0,0.5895742809
meandonationtime,BASOF,predspline,2,1930,3.18,1.59,0.2037035151,2.0397059E-01,0,0.5895742809
donorparity,TPK,predictorvalue,2,54106,3.18,1.59,0.2040900778,2.0409960E-01,0,0.5895742809
timesincecat,BILI,predictorvalue,3,22362,4.58,1.53,0.2051382958,2.0517000E-01,0,0.5895742809
timesincecat,EOSINO,predictorvalue,3,1915,4.58,1.53,0.2050795225,2.0544946E-01,0,0.5895742809
meanweekday,ERYTRO,predictorvalue,5,36602,7.20,1.44,0.2061935128,2.0622251E-01,0,0.5895742809
meandonorsex,KREA,predictorvalue,1,50332,1.60,1.60,0.2065163431,2.0652219E-01,0,0.5895742809
meandonorage,RET,predspline,2,497,3.16,1.58,0.2063695458,2.0740183E-01,0,0.5895742809
donorparity,FERRITIN,predictorvalue,2,2563,3.15,1.57,0.2072035736,2.0740381E-01,0,0.5895742809
donorparity,LYMF,predictorvalue,2,1920,3.14,1.57,0.2082162168,2.0848313E-01,0,0.5896492445
meanstoragetime,BILI_K,predspline,2,4814,3.11,1.55,0.2116412676,2.1174726E-01,0,0.5949138188
numdoncat,LD,predictorvalue,4,6690,5.83,1.46,0.2123374424,2.1246922E-01,0,0.5949138188
meandonationtime,HAPTO,predspline,2,369,3.05,1.53,0.2174507434,2.1881941E-01,0,0.6096461121
meandonorsex,EGFR,predictorvalue,1,7813,1.50,1.50,0.221137666,2.2117456E-01,0,0.6100825646
meanweekday,ASAT,predictorvalue,5,15276,6.98,1.40,0.221886807,2.2195483E-01,0,0.6100825646
meandonationtime,MYELO,predspline,2,354,3.02,1.51,0.2208248132,2.2224436E-01,0,0.6100825646
meanstoragetime,PO2,predspline,2,16536,2.95,1.47,0.2288861623,2.2891626E-01,0,0.6188730991
meandonorsex,ASAT,predictorvalue,1,15277,1.45,1.45,0.2288987396,2.2891738E-01,0,0.6188730991
meanweekday,LPK,predictorvalue,5,56342,6.88,1.38,0.2296424259,2.2966066E-01,0,0.6188730991
numdoncat,NEUTRO,predictorvalue,4,10906,5.62,1.40,0.2297884791,2.2986731E-01,0,0.6188730991
donorparity,MONO,predictorvalue,2,1927,2.93,1.46,0.2313555935,2.3161273E-01,0,0.6188730991
meandonorsex,LAKTAT,predictorvalue,1,18871,1.43,1.43,0.2320623937,2.3207741E-01,0,0.6188730991
meandonationtime,MCV,predspline,2,36698,2.88,1.44,0.2363652236,2.3637862E-01,0,0.6273555873
idbloodgroupcat,ALAT,predictorvalue,1,16857,1.39,1.39,0.2388839776,2.3890060E-01,0,0.6310582015
donorparity,ASAT,predictorvalue,2,15276,2.85,1.43,0.2403466599,2.4037864E-01,0,0.6319813939
meanstoragetime,ALP,predspline,2,6663,2.83,1.42,0.2428888797,2.4296187E-01,0,0.6357880802
meandonorhb,INR,predspline,2,27706,2.80,1.40,0.2463832982,2.4640075E-01,0,0.6417879975
timesincecat,LYMF,predictorvalue,3,1919,4.11,1.37,0.2496201084,2.4996499E-01,0,0.6474592883
meandonorhb,FIB,predspline,2,13552,2.76,1.38,0.2515704342,2.5160579E-01,0,0.6474592883
idbloodgroupcat,TRANSF,predictorvalue,1,52,1.33,1.33,0.2488136013,2.5408711E-01,0,0.6474592883
meanweekday,GLUKOS,predictorvalue,5,44587,6.58,1.32,0.2541780733,2.5420014E-01,0,0.6474592883
timesincecat,KREA,predictorvalue,3,50353,4.07,1.36,0.2543459652,2.5435901E-01,0,0.6474592883
idbloodgroupcat,MCV,predictorvalue,1,36785,1.27,1.27,0.2605563897,2.6056373E-01,0,0.6601406812
meandonorage,CO2,predspline,2,1071,2.68,1.34,0.2614189138,2.6185790E-01,0,0.6601406812
meanstoragetime,BE,predspline,2,20149,2.67,1.34,0.2630324164,2.6305570E-01,0,0.6601406812
meandonationtime,EOSINO,predspline,2,1913,2.65,1.32,0.2659069395,2.6615071E-01,0,0.6601406812
meanweekday,ALP,predictorvalue,5,6668,6.43,1.29,0.2666305056,2.6677442E-01,0,0.6601406812
meandonationtime,GT,predspline,2,7705,2.63,1.32,0.2683129175,2.6837318E-01,0,0.6601406812
meandonorage,MONO,predspline,2,1927,2.63,1.32,0.2681443518,2.6838531E-01,0,0.6601406812
meandonationtime,META,predspline,2,375,2.64,1.32,0.2678003453,2.6903704E-01,0,0.6601406812
timesincecat,GLUKOS,predictorvalue,3,44605,3.91,1.30,0.2711872088,2.7120146E-01,0,0.6601406812
timesincecat,HAPTO,predictorvalue,3,369,3.92,1.31,0.2701375942,2.7185650E-01,0,0.6601406812
meandonorage,ALP,predspline,2,6672,2.60,1.30,0.2722389687,2.7230803E-01,0,0.6601406812
numdoncat,NA,predictorvalue,4,46348,5.14,1.28,0.2736661812,2.7368329E-01,0,0.6606148341
timesincecat,PO2,predictorvalue,3,16557,3.86,1.29,0.276834374,2.7687231E-01,0,0.6620262399
donorparity,EGFR,predictorvalue,2,7812,2.57,1.28,0.2768769364,2.7693538E-01,0,0.6620262399
timesincecat,BILI_K,predictorvalue,3,4821,3.85,1.28,0.2776845579,2.7781458E-01,0,0.6620262399
meandonationtime,TROP_I,predspline,2,576,2.54,1.27,0.2815318332,2.8231588E-01,0,0.6649963215
numdoncat,BILI,predictorvalue,4,22361,5.05,1.26,0.2823307184,2.8236552E-01,0,0.6649963215
numdoncat,INR,predictorvalue,4,27928,5.05,1.26,0.2825955915,2.8262344E-01,0,0.6649963215
meanweekday,MONO,predictorvalue,5,1924,6.24,1.25,0.2840020492,2.8448178E-01,0,0.6665681793
idbloodgroupcat,ALB,predictorvalue,1,23054,1.13,1.13,0.2878674301,2.8787856E-01,0,0.6670607568
meandonationtime,PH,predspline,2,20367,2.49,1.25,0.2879262758,2.8794819E-01,0,0.6670607568
meandonorsex,CO2,predictorvalue,1,1072,1.13,1.13,0.2880262582,2.8826554E-01,0,0.6670607568
timesincecat,ALP,predictorvalue,3,6673,3.74,1.25,0.2906179026,2.9070925E-01,0,0.6696530273
meandonorage,PH,predspline,2,20403,2.46,1.23,0.2917556927,2.9177739E-01,0,0.6696530273
timesincecat,EGFR,predictorvalue,3,7815,3.69,1.23,0.2966332702,2.9671022E-01,0,0.6778769558
meandonorage,BASOF,predspline,2,1933,2.42,1.21,0.297555587,2.9778166E-01,0,0.6778769558
idbloodgroupcat,LYMF,predictorvalue,1,1919,1.08,1.08,0.29911338,2.9924419E-01,0,0.6784483688
meanstoragetime,ASAT,predspline,2,15252,2.38,1.19,0.3041749978,3.0420325E-01,0,0.6836088711
meandonationtime,CRP,predspline,2,47498,2.38,1.19,0.3043580722,3.0436714E-01,0,0.6836088711
meandonorage,HBA1C,predspline,2,180,2.39,1.19,0.3027931761,3.0518253E-01,0,0.6836088711
meandonorhb,PO2,predspline,2,16384,2.34,1.17,0.3104615652,3.1048749E-01,0,0.6854625066
meanweekday,APTT,predictorvalue,5,22109,5.93,1.19,0.3128477469,3.1288667E-01,0,0.6854625066
